idcasilla,entidad,estado,id_municipio,municipio,casilla,estatus_casilla,dia_ejercicio,votos_si,votos_no,votos_nulos,total
1700101,17,MORELOS                  ,1,AMACUZAC,AMACUZAC 01,CAPTURADA,23-02-2019,77,15,0,92
1700201,17,MORELOS                  ,2,ATLATLAHUCAN,ATLATLAHUCAN 01,CAPTURADA,23-02-2019,74,19,0,93
1700301,17,MORELOS                  ,3,AXOCHIAPAN,AXOCHIAPAN 01,CAPTURADA,23-02-2019,126,120,0,246
1700401,17,MORELOS                  ,4,AYALA,AYALA 01,CAPTURADA,23-02-2019,92,704,1,797
1700402,17,MORELOS                  ,4,AYALA,AYALA 02,CAPTURADA,23-02-2019,42,240,2,284
1700403,17,MORELOS                  ,4,AYALA,AYALA 03,CAPTURADA,23-02-2019,73,263,1,337
1700501,17,MORELOS                  ,5,COATLAN DEL RIO,COATLAN DEL RIO 01,CAPTURADA,23-02-2019,83,14,0,97
1700601,17,MORELOS                  ,6,CUAUTLA,CUAUTLA 01,CAPTURADA,23-02-2019,735,637,5,1377
1700602,17,MORELOS                  ,6,CUAUTLA,CUAUTLA 02,CAPTURADA,23-02-2019,341,347,4,692
1700603,17,MORELOS                  ,6,CUAUTLA,CUAUTLA 03,CAPTURADA,23-02-2019,377,360,0,737
1700604,17,MORELOS                  ,6,CUAUTLA,CUAUTLA 04,CAPTURADA,23-02-2019,205,137,1,343
1700605,17,MORELOS                  ,6,CUAUTLA,CUAUTLA 05,CAPTURADA,23-02-2019,76,57,1,134
1700701,17,MORELOS                  ,7,CUERNAVACA,CUERNAVACA 01,CAPTURADA,23-02-2019,117,47,1,165
1700702,17,MORELOS                  ,7,CUERNAVACA,CUERNAVACA 02,CAPTURADA,23-02-2019,168,32,0,200
1700703,17,MORELOS                  ,7,CUERNAVACA,CUERNAVACA 03,CAPTURADA,23-02-2019,706,443,1,1150
1700704,17,MORELOS                  ,7,CUERNAVACA,CUERNAVACA 04,CAPTURADA,23-02-2019,119,38,0,157
1700705,17,MORELOS                  ,7,CUERNAVACA,CUERNAVACA 05,CAPTURADA,23-02-2019,72,38,0,110
1700706,17,MORELOS                  ,7,CUERNAVACA,CUERNAVACA 06,CAPTURADA,23-02-2019,190,103,0,293
1700707,17,MORELOS                  ,7,CUERNAVACA,CUERNAVACA 07,CAPTURADA,23-02-2019,155,91,4,250
1700708,17,MORELOS                  ,7,CUERNAVACA,CUERNAVACA 08,CAPTURADA,23-02-2019,235,113,1,349
1700709,17,MORELOS                  ,7,CUERNAVACA,CUERNAVACA 09,CAPTURADA,23-02-2019,81,22,0,103
1700710,17,MORELOS                  ,7,CUERNAVACA,CUERNAVACA 10,CAPTURADA,23-02-2019,116,65,0,181
1700801,17,MORELOS                  ,8,EMILIANO ZAPATA,EMILIANO ZAPATA 01,CAPTURADA,23-02-2019,121,10,0,131
1700802,17,MORELOS                  ,8,EMILIANO ZAPATA,EMILIANO ZAPATA 02,CAPTURADA,23-02-2019,99,25,0,124
1700901,17,MORELOS                  ,9,HUITZILAC,HUITZILAC 01,CAPTURADA,23-02-2019,90,18,0,108
1701001,17,MORELOS                  ,10,JANTETELCO,JANTETELCO 01,CAPTURADA,23-02-2019,6,13,0,19
1701101,17,MORELOS                  ,11,JIUTEPEC,JIUTEPEC 01,CAPTURADA,23-02-2019,363,162,1,526
1701102,17,MORELOS                  ,11,JIUTEPEC,JIUTEPEC 02,CAPTURADA,23-02-2019,150,33,1,184
1701103,17,MORELOS                  ,11,JIUTEPEC,JIUTEPEC 03,CAPTURADA,23-02-2019,145,23,1,169
1701104,17,MORELOS                  ,11,JIUTEPEC,JIUTEPEC 04,CAPTURADA,23-02-2019,116,19,0,135
1701105,17,MORELOS                  ,11,JIUTEPEC,JIUTEPEC 05,CAPTURADA,23-02-2019,61,21,0,82
1701201,17,MORELOS                  ,12,JOJUTLA,JOJUTLA 01,CAPTURADA,23-02-2019,226,80,0,306
1701202,17,MORELOS                  ,12,JOJUTLA,JOJUTLA 02,CAPTURADA,23-02-2019,253,78,1,332
1701301,17,MORELOS                  ,13,JONACATEPEC,JONACATEPEC 01,CAPTURADA,23-02-2019,17,12,0,29
1701401,17,MORELOS                  ,14,MAZATEPEC,MAZATEPEC 01,CAPTURADA,23-02-2019,83,21,0,104
1701501,17,MORELOS                  ,15,MIACATLAN,MIACATLAN 01,CAPTURADA,23-02-2019,157,36,1,194
1701601,17,MORELOS                  ,16,OCUITUCO,OCUITUCO 01,CAPTURADA,23-02-2019,44,60,0,104
1701701,17,MORELOS                  ,17,PUENTE DE IXTLA,PUENTE DE IXTLA 01,CAPTURADA,23-02-2019,131,24,0,155
1701702,17,MORELOS                  ,17,PUENTE DE IXTLA,PUENTE DE IXTLA 02,CAPTURADA,23-02-2019,101,7,0,108
1701801,17,MORELOS                  ,18,TEMIXCO,TEMIXCO 01,CAPTURADA,23-02-2019,148,21,2,171
1701802,17,MORELOS                  ,18,TEMIXCO,TEMIXCO 02,CAPTURADA,23-02-2019,104,12,1,117
1701803,17,MORELOS                  ,18,TEMIXCO,TEMIXCO 03,CAPTURADA,23-02-2019,61,7,0,68
1701901,17,MORELOS                  ,19,TEPALCINGO,TEPALCINGO 01,CAPTURADA,23-02-2019,107,31,2,140
1701902,17,MORELOS                  ,19,TEPALCINGO,TEPALCINGO 02,CAPTURADA,23-02-2019,46,15,0,61
1701903,17,MORELOS                  ,19,TEPALCINGO,TEPALCINGO 03,CAPTURADA,23-02-2019,41,29,0,70
1702001,17,MORELOS                  ,20,TEPOZTLAN,TEPOZTLAN 01,CAPTURADA,23-02-2019,92,222,1,315
1702101,17,MORELOS                  ,21,TETECALA,TETECALA 01,CAPTURADA,23-02-2019,118,14,1,133
1702201,17,MORELOS                  ,22,TETELA DEL VOLCAN,TETELA DEL VOLCAN 01,CAPTURADA,23-02-2019,9,77,0,86
1702301,17,MORELOS                  ,23,TLALNEPANTLA,TLALNEPANTLA 01,CAPTURADA,23-02-2019,43,28,0,71
1702401,17,MORELOS                  ,24,TLALTIZAPAN,TLALTIZAPAN 01,CAPTURADA,23-02-2019,161,58,1,220
1702402,17,MORELOS                  ,24,TLALTIZAPAN,TLALTIZAPAN 02,CAPTURADA,23-02-2019,73,31,0,104
1702403,17,MORELOS                  ,24,TLALTIZAPAN,TLALTIZAPAN 03,CAPTURADA,23-02-2019,75,8,0,83
1702501,17,MORELOS                  ,25,TLAQUILTENANGO,TLAQUILTENANGO 01,CAPTURADA,23-02-2019,133,43,3,179
1702502,17,MORELOS                  ,25,TLAQUILTENANGO,TLAQUILTENANGO 02,CAPTURADA,23-02-2019,52,4,0,56
1702503,17,MORELOS                  ,25,TLAQUILTENANGO,TLAQUILTENANGO 03,CAPTURADA,23-02-2019,33,2,0,35
1702601,17,MORELOS                  ,26,TLAYACAPAN,TLAYACAPAN 01,CAPTURADA,23-02-2019,111,67,0,178
1702701,17,MORELOS                  ,27,TOTOLAPAN,TOTOLAPAN 01,CAPTURADA,23-02-2019,100,23,0,123
1702801,17,MORELOS                  ,28,XOCHITEPEC,XOCHITEPEC 01,CAPTURADA,23-02-2019,122,29,0,151
1702802,17,MORELOS                  ,28,XOCHITEPEC,XOCHITEPEC 02,CAPTURADA,23-02-2019,42,23,0,65
1702901,17,MORELOS                  ,29,YAUTEPEC,YAUTEPEC 01,CAPTURADA,23-02-2019,914,161,4,1079
1702902,17,MORELOS                  ,29,YAUTEPEC,YAUTEPEC 02,CAPTURADA,23-02-2019,173,34,1,208
1702903,17,MORELOS                  ,29,YAUTEPEC,YAUTEPEC 03,CAPTURADA,23-02-2019,87,43,0,130
1703001,17,MORELOS                  ,30,YECAPIXTLA,YECAPIXTLA 01,CAPTURADA,23-02-2019,144,330,1,475
1703003,17,MORELOS                  ,30,YECAPIXTLA,YECAPIXTLA 03,CAPTURADA,23-02-2019,83,77,0,160
1703101,17,MORELOS                  ,31,ZACATEPEC,ZACATEPEC 01,CAPTURADA,23-02-2019,156,44,0,200
1703201,17,MORELOS                  ,32,ZACUALPAN,ZACUALPAN 01,CAPTURADA,23-02-2019,7,7,0,14
1703303,17,MORELOS                  ,33,TEMOAC,TEMOAC 03,CAPTURADA,23-02-2019,7,2,0,9
