cve_edo_mpo,estado,municipio,total_si,total_no,total_nulos,total_mpo,ln_mpo,por_si,por_no,por_nulos,por_part
17001,MORELOS,AMACUZAC,252,30,0,282,13425,89.4,10.6,0,2.1
17002,MORELOS,ATLATLAHUCAN,186,88,0,274,17011,67.9,32.1,0,1.6
17003,MORELOS,AXOCHIAPAN,642,540,3,1185,26064,54.2,45.6,0.3,4.5
17004,MORELOS,AYALA,384,3824,15,4223,61999,9.1,90.6,0.4,6.8
17005,MORELOS,COATLAN DEL RIO,227,45,0,272,8232,83.5,16.5,0,3.3
17006,MORELOS,CUAUTLA,3904,3926,22,7852,142718,49.7,50,0.3,5.5
17007,MORELOS,CUERNAVACA,4831,2840,28,7699,312633,62.7,36.9,0.4,2.5
17008,MORELOS,EMILIANO ZAPATA,544,128,0,672,62859,81,19,0,1.1
17009,MORELOS,HUITZILAC,271,71,1,343,14698,79,20.7,0.3,2.3
17010,MORELOS,JANTETELCO,105,45,0,150,12761,70,30,0,1.2
17011,MORELOS,JIUTEPEC,2222,654,4,2880,164581,77.2,22.7,0.1,1.7
17012,MORELOS,JOJUTLA,1199,329,3,1531,46860,78.3,21.5,0.2,3.3
17013,MORELOS,JONACATEPEC,154,129,0,283,11923,54.4,45.6,0,2.4
17014,MORELOS,MAZATEPEC,208,77,0,285,7999,73,27,0,3.6
17015,MORELOS,COATETELCO,675,252,3,930,20154,72.6,27.1,0.3,4.6
17016,MORELOS,OCUITUCO,117,331,1,449,13037,26.1,73.7,0.2,3.4
17017,MORELOS,XOXOCOTLA,912,182,1,1095,48885,83.3,16.6,0.1,2.2
17018,MORELOS,TEMIXCO,883,153,6,1042,86524,84.7,14.7,0.6,1.2
17019,MORELOS,TEPALCINGO,452,246,3,701,20228,64.5,35.1,0.4,3.5
17020,MORELOS,TEPOZTLAN,272,765,1,1038,29302,26.2,73.7,0.1,3.5
17021,MORELOS,TETECALA,404,48,5,457,6330,88.4,10.5,1.1,7.2
17022,MORELOS,HUEYAPAN,45,690,2,737,14543,6.1,93.6,0.3,5.1
17023,MORELOS,TLALNEPANTLA,103,59,0,162,5042,63.6,36.4,0,3.2
17024,MORELOS,TLALTIZAPAN,686,246,1,933,37798,73.5,26.4,0.1,2.5
17025,MORELOS,TLAQUILTENANGO,509,146,4,659,24994,77.2,22.2,0.6,2.6
17026,MORELOS,TLAYACAPAN,243,159,1,403,14162,60.3,39.5,0.2,2.8
17027,MORELOS,TOTOLAPAN,266,70,0,336,8044,79.2,20.8,0,4.2
17028,MORELOS,XOCHITEPEC,405,142,0,547,49576,74,26,0,1.1
17029,MORELOS,YAUTEPEC,2646,667,12,3325,77372,79.6,20.1,0.4,4.3
17030,MORELOS,YECAPIXTLA,587,1241,4,1832,35779,32,67.7,0.2,5.1
17031,MORELOS,ZACATEPEC,435,138,3,576,29323,75.5,24,0.5,2
17032,MORELOS,ZACUALPAN,7,7,0,14,7185,50,50,0,0.2
17033,MORELOS,TEMOAC,7,2,0,9,11028,77.8,22.2,0,0.1
21005,PUEBLA,ACTEOPAN,106,165,5,276,2275,38.4,59.8,1.8,12.1
21019,PUEBLA,ATLIXCO,572,136,3,711,103907,80.5,19.1,0.4,0.7
21022,PUEBLA,ATZITZIHUACAN,441,211,8,660,9056,66.8,32,1.2,7.3
21026,PUEBLA,CALPAN,47,1113,13,1173,10612,4,94.9,1.1,11.1
21034,PUEBLA,COHUECAN,131,144,3,278,3551,47.1,51.8,1.1,7.8
21070,PUEBLA,HUAQUECHULA,245,29,0,274,20466,89.4,10.6,0,1.3
21076,PUEBLA,HUEJOTZINGO,297,55,0,352,54343,84.4,15.6,0,0.6
21092,PUEBLA,JUAN C. BONILLA,5,3,0,8,16682,62.5,37.5,0,0
21103,PUEBLA,NEALTICAN,46,671,5,722,8653,6.4,92.9,0.7,8.3
21107,PUEBLA,OCOYUCAN,484,23,2,509,24143,95.1,4.5,0.4,2.1
21127,PUEBLA,SAN JERONIMO TECUANIPAN,48,174,3,225,4140,21.3,77.3,1.3,5.4
21141,PUEBLA,SAN PEDRO CHOLULA,726,187,2,915,103088,79.3,20.4,0.2,0.9
21148,PUEBLA,SANTA ISABEL CHOLULA,572,41,0,613,7733,93.3,6.7,0,7.9
21181,PUEBLA,TLALTENANGO,148,29,0,177,4704,83.6,16.4,0,3.8
21188,PUEBLA,TOCHIMILCO,219,444,2,665,12772,32.9,66.8,0.3,5.2
29014,TLAXCALA,HUEYOTLIPAN,399,22,1,422,11305,94.5,5.2,0.2,3.7
29015,TLAXCALA,IXTACUIXTLA DE MARIANO MATAMOROS,719,52,3,774,27940,92.9,6.7,0.4,2.8
29023,TLAXCALA,NATIVITAS,195,248,2,445,18400,43.8,55.7,0.4,2.4
29024,TLAXCALA,PANOTLA,531,152,5,688,19909,77.2,22.1,0.7,3.5
29032,TLAXCALA,TETLATLAHUCA,721,27,4,752,9393,95.9,3.6,0.5,8
29034,TLAXCALA,TLAXCO,673,30,1,704,31049,95.6,4.3,0.1,2.3
29045,TLAXCALA,SANTA APOLONIA TEACALCO,278,15,0,293,3667,94.9,5.1,0,8
29047,TLAXCALA,SAN JUAN HUACTZINCO,469,21,1,491,5311,95.5,4.3,0.2,9.2
29053,TLAXCALA,SAN DAMIAN TEXOLOC,319,93,0,412,4276,77.4,22.6,0,9.6
